"State","Bank Failures","Year"
"MI",0,2015
"MI",0,2016
"MI",0,2017
"MI",0,2018
"MI",0,2019
"MI",0,2020
"MI",0,2021
"MI",0,2022
"MI",0,2023
"RI",0,2000
"RI",0,2001
"RI",0,2002
"RI",0,2003
"RI",0,2004
"RI",0,2005
"RI",0,2006
"RI",0,2007
"RI",0,2008
"RI",0,2009
"RI",0,2010
"RI",0,2011
"RI",0,2012
"RI",0,2013
"RI",0,2014
"RI",0,2015
"RI",0,2016
"RI",0,2017
"RI",0,2018
"RI",0,2019
"RI",0,2020
"RI",0,2021
"RI",0,2022
"RI",0,2023
"CO",0,2000
"CO",0,2001
"CO",0,2002
"CO",0,2003
"CO",0,2004
"CO",0,2005
"CO",0,2006
"CO",0,2007
"CO",0,2008
"CO",3,2009
"CO",0,2010
"CO",6,2011
"CO",0,2012
"CO",0,2013
"CO",0,2014
"CO",1,2015
"CO",0,2016
"CO",0,2017
"CO",0,2018
"CO",0,2019
"CO",0,2020
"CO",0,2021
"CO",0,2022
"CO",0,2023
"MN",0,2000
"MN",0,2001
"MN",0,2002
"MN",0,2003
"MN",0,2004
"MN",0,2005
"MN",0,2006
"MN",0,2007
"MN",1,2008
"MN",6,2009
"MN",8,2010
"MN",2,2011
"MN",4,2012
"MN",1,2013
"MN",1,2014
"MN",0,2015
"MN",0,2016
"MN",0,2017
"MN",0,2018
"MN",0,2019
"MN",0,2020
"MN",0,2021
"MN",0,2022
"MN",0,2023
"SC",0,2000
"SC",0,2001
"SC",0,2002
"SC",0,2003
"SC",0,2004
"SC",0,2005
"SC",0,2006
"SC",0,2007
"SC",0,2008
"SC",0,2009
"SC",4,2010
"SC",3,2011
"SC",2,2012
"SC",0,2013
"SC",1,2014
"SC",0,2015
"SC",0,2016
"SC",0,2017
"SC",0,2018
"SC",0,2019
"SC",0,2020
"SC",0,2021
"SC",0,2022
"SC",0,2023
"CT",0,2000
"CT",0,2001
"CT",1,2002
"CT",0,2003
"CT",0,2004
"CT",0,2005
"CT",0,2006
"CT",0,2007
"CT",0,2008
"CT",0,2009
"CT",0,2010
"CT",0,2011
"CT",0,2012
"CT",1,2013
"CT",0,2014
"CT",0,2015
"CT",0,2016
"CT",0,2017
"CT",0,2018
"CT",0,2019
"CT",0,2020
"CT",0,2021
"CT",0,2022
"CT",0,2023
"MS",0,2000
"MS",0,2001
"MS",0,2002
"MS",0,2003
"MS",0,2004
"MS",0,2005
"MS",0,2006
"MS",0,2007
"MS",0,2008
"MS",0,2009
"MS",1,2010
"MS",1,2011
"MS",0,2012
"MS",0,2013
"MS",0,2014
"MS",0,2015
"MS",0,2016
"MS",0,2017
"MS",0,2018
"MS",0,2019
"MS",0,2020
"MS",0,2021
"MS",0,2022
"MS",0,2023
"SD",0,2000
"SD",0,2001
"SD",0,2002
"SD",0,2003
"SD",0,2004
"SD",0,2005
"SD",0,2006
"SD",0,2007
"SD",0,2008
"SD",1,2009
"SD",0,2010
"SD",0,2011
"SD",0,2012
"SD",0,2013
"SD",0,2014
"SD",0,2015
"SD",0,2016
"SD",0,2017
"SD",0,2018
"SD",0,2019
"SD",0,2020
"SD",0,2021
"SD",0,2022
"SD",0,2023
"DE",0,2000
"DE",0,2001
"DE",0,2002
"DE",0,2003
"DE",0,2004
"DE",0,2005
"DE",0,2006
"DE",0,2007
"DE",0,2008
"DE",0,2009
"DE",0,2010
"DE",0,2011
"DE",0,2012
"DE",0,2013
"DE",0,2014
"DE",0,2015
"DE",0,2016
"DE",0,2017
"DE",0,2018
"DE",0,2019
"DE",0,2020
"DE",0,2021
"DE",0,2022
"DE",0,2023
"MO",0,2000
"MO",0,2001
"MO",0,2002
"MO",0,2003
"MO",0,2004
"MO",0,2005
"MO",0,2006
"MO",0,2007
"MO",2,2008
"MO",3,2009
"MO",6,2010
"MO",1,2011
"MO",4,2012
"MO",0,2013
"MO",0,2014
"MO",0,2015
"MO",0,2016
"MO",0,2017
"MO",0,2018
"MO",0,2019
"MO",0,2020
"MO",0,2021
"MO",0,2022
"MO",0,2023
"TN",0,2000
"TN",0,2001
"TN",1,2002
"TN",0,2003
"TN",0,2004
"TN",0,2005
"TN",0,2006
"TN",0,2007
"TN",0,2008
"TN",0,2009
"TN",0,2010
"TN",0,2011
"TN",3,2012
"TN",2,2013
"TN",0,2014
"TN",0,2015
"TN",1,2016
"TN",0,2017
"TN",0,2018
"TN",0,2019
"TN",0,2020
"TN",0,2021
"TN",0,2022
"TN",0,2023
"MT",0,2000
"MT",0,2001
"MT",0,2002
"MT",0,2003
"MT",0,2004
"MT",0,2005
"MT",0,2006
"MT",0,2007
"MT",0,2008
"MT",0,2009
"MT",0,2010
"MT",0,2011
"MT",0,2012
"MT",0,2013
"MT",0,2014
"MT",0,2015
"MT",0,2016
"MT",0,2017
"MT",0,2018
"MT",0,2019
"MT",0,2020
"MT",0,2021
"MT",0,2022
"MT",0,2023
"TX",0,2000
"TX",0,2001
"TX",1,2002
"TX",0,2003
"TX",0,2004
"TX",0,2005
"TX",0,2006
"TX",0,2007
"TX",2,2008
"TX",5,2009
"TX",1,2010
"TX",1,2011
"TX",0,2012
"TX",2,2013
"TX",0,2014
"TX",0,2015
"TX",0,2016
"TX",0,2017
"TX",0,2018
"TX",1,2019
"TX",0,2020
"TX",0,2021
"TX",0,2022
"TX",0,2023
"FL",0,2000
"FL",0,2001
"FL",2,2002
"FL",0,2003
"FL",1,2004
"FL",0,2005
"FL",0,2006
"FL",0,2007
"FL",2,2008
"FL",14,2009
"FL",29,2010
"FL",13,2011
"FL",8,2012
"FL",4,2013
"FL",1,2014
"FL",1,2015
"FL",0,2016
"FL",0,2017
"FL",0,2018
"FL",0,2019
"FL",1,2020
"FL",0,2021
"FL",0,2022
"FL",0,2023
"NE",0,2000
"NE",0,2001
"NE",0,2002
"NE",0,2003
"NE",0,2004
"NE",0,2005
"NE",0,2006
"NE",0,2007
"NE",0,2008
"NE",1,2009
"NE",1,2010
"NE",1,2011
"NE",0,2012
"NE",0,2013
"NE",0,2014
"NE",0,2015
"NE",0,2016
"NE",0,2017
"NE",0,2018
"NE",0,2019
"NE",1,2020
"NE",0,2021
"NE",0,2022
"NE",0,2023
"GA",0,2000
"GA",0,2001
"GA",1,2002
"GA",0,2003
"GA",0,2004
"GA",0,2005
"GA",0,2006
"GA",1,2007
"GA",5,2008
"GA",25,2009
"GA",21,2010
"GA",23,2011
"GA",10,2012
"GA",3,2013
"GA",1,2014
"GA",2,2015
"GA",1,2016
"GA",0,2017
"GA",0,2018
"GA",0,2019
"GA",0,2020
"GA",0,2021
"GA",0,2022
"GA",0,2023
"NV",0,2000
"NV",0,2001
"NV",0,2002
"NV",0,2003
"NV",0,2004
"NV",0,2005
"NV",0,2006
"NV",0,2007
"NV",3,2008
"NV",3,2009
"NV",4,2010
"NV",1,2011
"NV",0,2012
"NV",1,2013
"NV",0,2014
"NV",0,2015
"NV",0,2016
"NV",0,2017
"NV",0,2018
"NV",0,2019
"NV",0,2020
