NatWalkInd,Shape_Area
1,0.17653484774847247
2,0.1642559521871599
3,0.15197705662584737
4,0.13969816106453478
5,0.12741926550322222
6,0.06950272322913395
7,0.13023310728066415
8,0.034170492750029195
9,0.03037239119160348
10,0.01832304410315172
11,0.020594162925750014
12,0.016413883372296205
13,0.008887013448485456
14,0.004568199630330984
15,0.07568639734686755
16,0.006759479279920362
17,0.023316360549993753
18,0.010429711143382333
19,0.04240028068310256
20,0.017627989755821034
21,0.012617400365794014
22,0.005898756642333276
23,0.0017989629336878502
24,0.008437567659322364
25,0.013202144405649588
26,0.010401148685568648
27,0.0007034255820440793
28,0.011041880945428063
29,0.004762537734509401
30,0.004481568050324297
31,0.0004342523438674266
32,0.003532312004995977
33,0.0014536214432388725
34,0.00034107305645079684
35,0.0010265031312387668
36,0.003882505767437034
37,0.017469418696193197
38,0.008751516758102464
39,0.001779747542638817
40,0.0034768414974406425
41,0.0011145392954607205
42,0.0007118482617799106
43,0.00041769939503727774
44,0.00045440971396919227
45,0.0009586716483525046
46,0.0004974909851115023
47,0.0004951735935210023
48,0.0007305726170200655
49,0.0004134939478212088
50,0.0006366649887765451
51,0.00043534014620366575
52,0.0003195853115002764
53,0.0033316730012659776
54,0.00009586928424450081
55,0.0003363355565011456
56,0.00023663375575459707
57,0.00006702192797726692
58,0.00014165705404151768
59,0.00014077704241526604
60,0.0003340259591617744
61,0.0023347879572781847
62,0.00027959042617220156
63,0.000151467512080104
64,0.0006850840049892684
65,0.00048816238110903733
66,0.0004216797496883222
67,0.000022920480001074116
68,0.005285056497385085
69,0.00010908780616915614
70,0.003023653199169743
71,0.0010211421130733346
72,0.0004315588582905125
73,0.00006152881560685992
74,0.0008581777103242865
75,0.00014301178418160953
76,0.0003929741876117324
77,0.000367235354603649
78,0.00004836189954682149
79,0.000760105801375658
80,0.00039352382793835796
81,0.0003757798995324709
82,0.00038958957765336213
83,0.00002575069032736968
84,0.0003121130945907612
85,0.0003602962108756981
86,0.00010204843206465715
87,0.00033224612306489087
88,0.00023644902151513712
89,0.0000593467413835737
90,0.000030096379939337558
91,0.000047305539371249875
92,0.00007318525153847656
93,0.0002531993315791874
94,0.00018570968660999701
95,0.0001182200416408066
96,0.000720368230827221
97,0.00037706113244591213
98,0.00026149654501347245
99,0.0005638471669737729
