NatWalkInd,Shape_Area
1,0.016065229596411643
2,0.04260266577862477
3,0.05104836734596617
4,0.04963856706533687
5,0.030576419055773924
6,0.06218361076112992
7,0.04051154562789765
8,0.025964947343495463
9,0.006004501446965108
10,0.04750574450716104
11,0.031812179511173884
12,0.013618023723472983
13,0.041397347957136024
14,0.014466794915972862
15,0.009696954966851131
16,0.013317665378083886
17,0.004231768882689688
18,0.0038512041929199465
19,0.0014778780535560383
20,0.012982168831121276
21,0.00923914838007127
22,0.02176735233795842
23,0.01954035966710375
24,0.0013546285794092464
25,0.01286175051582784
26,0.006016828763785943
27,0.010797580109127215
28,0.00895174148172564
29,0.004639258725516591
30,0.0016369778041840886
31,0.006305013429837339
32,0.006467179030560537
33,0.006694264575291268
34,0.00968907758232274
35,0.0008062166004203464
36,0.0033803420678428222
37,0.0004216783229013701
38,0.00047977746409777597
39,0.0022151087439363205
40,0.008009084496906429
41,0.0005219992033282677
42,0.0012992426061612934
43,0.003017632558381415
44,0.00037136457184851467
45,0.00021319952019913061
46,0.00045815128018986416
47,0.0033605320073227096
48,0.0007042548059389613
49,0.000928953491206696
50,0.0012413505278288095
51,0.0005299620189860042
52,0.00024759094216385383
53,0.00018032001846573004
54,0.0018978723621316947
55,0.002960748262113394
56,0.00018409676702853825
57,0.0002974610814790871
58,0.0001766114562561677
59,0.00018340751498945816
60,0.0002963784413538089
61,0.00015051562896901757
62,0.0007083423361173043
63,0.0006442950309593242
64,0.0007004813959080867
65,0.0004833357534788059
66,0.0006693413136812698
67,0.00037809262371833453
68,0.0001894846286369257
69,0.000653511588821264
70,0.00027588410906712887
71,0.00042978767755929415
72,0.0008847087039907808
73,0.00025908735361455937
74,0.00035613101696393436
75,0.0002984315666940731
76,0.00012121060303957817
77,0.0003220920058589303
78,0.00048459322404209994
79,0.00022676667078168252
80,0.0008217684253051117
81,0.0004410408711171334
82,0.0003073468463759667
83,0.0011168231868150275
84,0.0003901606642127079
85,0.0007874277436521538
86,0.000383047883122721
87,0.0009438855218847211
88,0.0004731017877805445
89,0.00024837796384443
90,0.0001303519470450057
91,0.000254842458278732
92,0.0005876070629818008
93,0.00025861562479877117
94,0.00018008625915245921
95,0.0004931711669659846
96,0.0002005534506131102
97,0.0007313990205977186
98,0.0023589254424315267
99,0.0001582542501281792
