"State","Year","Overweight Adults (%)"
"GA",2013,31.3
"KS",2013,31.3
"MA",2014,31.3
"ID",2011,31.3
"LA",2012,31.3
"KS",2015,31.3
"GA",2017,31.3
"WI",2017,31.3
"WI",2013,31.3
"TN",2014,31.3
"RI",2017,31.3
"UT",2014,31.3
"OR",2013,31.3
"LA",2019,31.3
"OK",2019,31.3
"CO",2014,31.3
"CT",2015,31.3
"ME",2014,31.3
"NE",2019,31.3
"WI",2019,31.3
"NC",2015,31.3
"SC",2014,31.3
"NV",2013,31.3
"MI",2013,31.3
"AK",2011,31.3
"HI",2012,31.3
"MI",2011,31.3
"IN",2011,31.3
"PA",2013,31.3
"MO",2013,31.3
"IN",2013,31.3
"AL",2014,31.3
"LA",2014,31.3
"AK",2013,31.3
"VT",2015,31.3
"WA",2016,31.3
"AZ",2016,31.3
"ND",2016,31.3
"MS",2016,31.3
"MD",2016,31.3
"TX",2016,31.3
"AK",2016,31.3
"WY",2016,31.3
"AR",2016,31.3
"MD",2016,31.3
"MO",2016,31.3
"LA",2021,31.3
"KS",2021,31.3
"OK",2021,31.3
"OK",2021,31.3
"MD",2021,31.3
"SC",2021,31.3
"UT",2021,31.3
"MD",2021,31.3
"VT",2021,31.3
"NJ",2021,31.3
"AL",2022,31.3
"FL",2022,31.3
"GA",2022,31.3
"IA",2022,31.3
"MA",2022,31.3
"MT",2022,31.3
"OH",2022,31.3
"SC",2022,31.3
"WY",2022,31.3
"AK",2016,31.4
"WY",2018,31.4
"MS",2018,31.4
"VT",2018,31.4
"OK",2018,31.4
"VA",2018,31.4
"NE",2018,31.4
"WI",2018,31.4
"VT",2018,31.4
"MO",2018,31.4
"MA",2018,31.4
"ME",2018,31.4
"GA",2018,31.4
"PA",2020,31.4
"UT",2020,31.4
"MD",2020,31.4
"GA",2020,31.4
"DE",2020,31.4
"OR",2020,31.4
"SD",2017,31.4
"LA",2017,31.4
"AK",2017,31.4
"TX",2017,31.4
"SD",2017,31.4
"NY",2013,31.4
"RI",2015,31.4
"OR",2011,31.4
"WI",2012,31.4
"UT",2013,31.4
"RI",2011,31.4
"MI",2011,31.4
"RI",2017,31.4
"WV",2012,31.4
"WA",2017,31.4
"MO",2014,31.4
"LA",2015,31.4
"AK",2019,31.4
"NM",2019,31.4
"ME",2019,31.4
"ID",2019,31.4
"DE",2013,31.4
"UT",2019,31.4
"WA",2019,31.4
"OH",2019,31.4
"NC",2011,31.4
"IN",2014,31.4
"WV",2015,31.4
"LA",2014,31.4
"NH",2015,31.4
"AL",2011,31.4
"OK",2012,31.4
"WV",2014,31.4
"WV",2011,31.4
"TX",2014,31.4
"NJ",2014,31.4
"AL",2013,31.4
"CO",2011,31.4
"CO",2011,31.4
"MO",2015,31.4
"CT",2013,31.4
"NY",2016,31.4
"LA",2016,31.4
"HI",2016,31.4
"ME",2021,31.4
"MI",2021,31.4
"ME",2021,31.4
"LA",2021,31.4
"NM",2021,31.4
"AZ",2021,31.4
"VA",2021,31.4
"WI",2021,31.4
"HI",2021,31.4
"NH",2021,31.4
"AR",2022,31.4
"NY",2022,31.4
"NY",2022,31.4
"OK",2022,31.4
"OR",2022,31.4
"RI",2022,31.4
"WI",2022,31.4
"UT",2014,31.5
"MN",2018,31.5
"ME",2018,31.5
"GA",2018,31.5
"MD",2020,31.5
"OR",2016,31.5
"ND",2020,31.5
"NM",2020,31.5
"LA",2020,31.5
"MT",2020,31.5
"MI",2017,31.5
"IL",2017,31.5
"FL",2017,31.5
"NY",2017,31.5
"IN",2017,31.5
"CO",2011,31.5
"KY",2015,31.5
"VT",2015,31.5
"IL",2014,31.5
"KY",2015,31.5
"IL",2017,31.5
"MS",2012,31.5
"AK",2019,31.5
"NH",2012,31.5
"MA",2011,31.5
"MN",2019,31.5
"WV",2019,31.5
"IA",2019,31.5
"MI",2012,31.5
"OK",2019,31.5
"FL",2019,31.5
"PA",2019,31.5
"NE",2019,31.5
"FL",2013,31.5
"WI",2013,31.5
"MT",2012,31.5
"AZ",2014,31.5
"OR",2015,31.5
"KS",2015,31.5
"OR",2014,31.5
"PA",2014,31.5
"MT",2014,31.5
"IA",2013,31.5
"UT",2012,31.5
"CA",2013,31.5
"NC",2011,31.5
"MD",2015,31.5
"RI",2013,31.5
"HI",2012,31.5
"WV",2013,31.5
"IA",2012,31.5
"CA",2011,31.5
"ID",2012,31.5
"WY",2013,31.5
"KY",2012,31.5
"MA",2016,31.5
"MD",2016,31.5
"NV",2016,31.5
"MO",2016,31.5
"RI",2016,31.5
"AK",2016,31.5
"WY",2016,31.5
"AK",2021,31.5
"TX",2021,31.5
"TX",2021,31.5
"MN",2021,31.5
"AR",2021,31.5
"KY",2021,31.5
"MD",2021,31.5
"WY",2021,31.5
"AR",2022,31.5
"FL",2022,31.5
"GA",2022,31.5
"LA",2022,31.5
"OK",2022,31.5
"TX",2022,31.5
"VA",2022,31.5
"NE",2018,31.6
"IL",2018,31.6
"IN",2018,31.6
"SC",2018,31.6
"MI",2018,31.6
"MS",2018,31.6
"TX",2018,31.6
"KS",2018,31.6
"HI",2018,31.6
"KY",2020,31.6
"MS",2020,31.6
"MI",2020,31.6
"OH",2020,31.6
"TN",2020,31.6
"VA",2020,31.6
"CO",2020,31.6
"SD",2020,31.6
"FL",2020,31.6
"GA",2020,31.6
"OR",2017,31.6
"AR",2017,31.6
"ME",2017,31.6
"HI",2017,31.6
"OR",2013,31.6
"AL",2012,31.6
"NM",2011,31.6
"MA",2013,31.6
"IL",2017,31.6
"NE",2017,31.6
"MS",2013,31.6
"WA",2012,31.6
"UT",2015,31.6
"AL",2019,31.6
"ID",2019,31.6
"WI",2019,31.6
"MS",2011,31.6
"RI",2019,31.6
"ND",2019,31.6
"NV",2011,31.6
"SC",2019,31.6
"IN",2019,31.6
"HI",2015,31.6
"KY",2014,31.6
"IL",2019,31.6
"AR",2019,31.6
"DE",2013,31.6
"AR",2012,31.6
"TX",2011,31.6
"GA",2015,31.6
"DE",2013,31.6
"VA",2011,31.6
"AK",2014,31.6
"MD",2014,31.6
"CO",2013,31.6
"OR",2011,31.6
"ID",2011,31.6
"MN",2012,31.6
"MT",2016,31.6
"MA",2016,31.6
"WA",2016,31.6
"LA",2016,31.6
"UT",2016,31.6
"MI",2021,31.6
"MS",2021,31.6
"MD",2021,31.6
"ID",2021,31.6
"AL",2021,31.6
"AK",2021,31.6
"WA",2021,31.6
"WY",2021,31.6
"MA",2022,31.6
"MA",2022,31.6
"MO",2022,31.6
"OH",2022,31.6
"OK",2022,31.6
"SD",2022,31.6
"TN",2022,31.6
"TN",2022,31.6
"WA",2022,31.6
"CO",2018,31.7
"GA",2018,31.7
"ID",2018,31.7
"MS",2018,31.7
"OR",2018,31.7
"VA",2018,31.7
"MI",2018,31.7
"WA",2018,31.7
"NY",2020,31.7
"WV",2020,31.7
"WY",2020,31.7
"FL",2020,31.7
"VT",2020,31.7
"WV",2020,31.7
"WY",2020,31.7
"TN",2017,31.7
"AK",2017,31.7
"TN",2017,31.7
"MA",2011,31.7
"ID",2012,31.7
"MD",2015,31.7
"IN",2017,31.7
"LA",2015,31.7
"MT",2017,31.7
"CO",2019,31.7
"TN",2019,31.7
"MD",2012,31.7
"AR",2019,31.7
"RI",2015,31.7
"ID",2014,31.7
"MO",2019,31.7
"HI",2019,31.7
"CO",2011,31.7
"MI",2012,31.7
"MN",2019,31.7
"MO",2014,31.7
"AR",2012,31.7
"TN",2015,31.7
"NE",2015,31.7
"NE",2013,31.7
"SC",2013,31.7
"WY",2014,31.7
"AR",2014,31.7
"CO",2013,31.7
"SC",2016,31.7
"MD",2016,31.7
"WV",2016,31.7
"FL",2016,31.7
"TN",2016,31.7
"IA",2016,31.7
"LA",2016,31.7
"AK",2016,31.7
"AL",2016,31.7
"PA",2016,31.7
"GA",2021,31.7
"ME",2021,31.7
"GA",2021,31.7
"AR",2021,31.7
"LA",2021,31.7
"CO",2022,31.7
"IA",2022,31.7
"LA",2022,31.7
"MO",2022,31.7
"OH",2022,31.7
"WV",2022,31.7
"WV",2022,31.7
"ID",2018,31.8
"AK",2018,31.8
"IN",2018,31.8
"ME",2018,31.8
"AL",2018,31.8
"WV",2018,31.8
"ND",2020,31.8
"ME",2020,31.8
"GA",2020,31.8
"ID",2020,31.8
"SC",2020,31.8
"OK",2020,31.8
"AR",2020,31.8
"NH",2020,31.8
"AR",2020,31.8
"TN",2017,31.8
"MI",2017,31.8
"LA",2017,31.8
"NM",2017,31.8
"HI",2017,31.8
"MO",2017,31.8
"TN",2017,31.8
"MI",2017,31.8
"TN",2013,31.8
"VT",2013,31.8
"ND",2014,31.8
"LA",2012,31.8
"IN",2011,31.8
"HI",2012,31.8
"MO",2011,31.8
"TX",2013,31.8
"UT",2015,31.8
"HI",2015,31.8
"CT",2012,31.8
"ME",2012,31.8
"GA",2017,31.8
"OH",2011,31.8
"IA",2012,31.8
"NY",2014,31.8
"NE",2013,31.8
"AR",2012,31.8
"MO",2014,31.8
"KS",2012,31.8
"LA",2014,31.8
"IA",2019,31.8
"MD",2013,31.8
"SD",2019,31.8
"WV",2019,31.8
"WA",2019,31.8
"NJ",2011,31.8
"CA",2015,31.8
"WI",2014,31.8
"MN",2013,31.8
"OR",2015,31.8
"CA",2013,31.8
"OR",2011,31.8
"SC",2011,31.8
"NJ",2015,31.8
"PA",2011,31.8
"MS",2013,31.8
"GA",2013,31.8
"IA",2014,31.8
"NH",2011,31.8
"AL",2012,31.8
"WA",2014,31.8
"VA",2011,31.8
"ME",2012,31.8
"UT",2016,31.8
"CO",2016,31.8
"HI",2016,31.8
"NV",2016,31.8
"NC",2016,31.8
"AR",2016,31.8
"SC",2021,31.8
"OK",2021,31.8
"MO",2021,31.8
"SD",2021,31.8
"WA",2021,31.8
"AL",2021,31.8
"IL",2021,31.8
"AL",2022,31.8
"ID",2022,31.8
"MS",2022,31.8
"NY",2022,31.8
"TX",2022,31.8
"WA",2022,31.8
"AL",2018,31.9
"NM",2018,31.9
"UT",2018,31.9
"MT",2018,31.9
"IL",2018,31.9
"KS",2018,31.9
"KY",2018,31.9
"HI",2018,31.9
"MO",2018,31.9
"OK",2020,31.9
"VT",2020,31.9
"MS",2020,31.9
"ID",2020,31.9
"PA",2020,31.9
"AZ",2017,31.9
"MN",2020,31.9
"NY",2017,31.9
"WI",2017,31.9
"IN",2017,31.9
"TN",2015,31.9
"MA",2015,31.9
"MI",2012,31.9
"MI",2014,31.9
"KY",2012,31.9
"WA",2013,31.9
"HI",2013,31.9
"SC",2014,31.9
"MO",2011,31.9
"WV",2013,31.9
"ND",2013,31.9
"CT",2011,31.9
"NC",2014,31.9
"MS",2011,31.9
"WV",2017,31.9
"OK",2017,31.9
"VA",2017,31.9
"MS",2019,31.9
"NH",2019,31.9
"HI",2019,31.9
"RI",2012,31.9
"TN",2013,31.9
"VA",2019,31.9
"MD",2014,31.9
"VA",2019,31.9
"MD",2019,31.9
"AL",2011,31.9
"CA",2019,31.9
"CA",2011,31.9
"VA",2015,31.9
"AL",2011,31.9
"UT",2012,31.9
"SD",2013,31.9
"VT",2011,31.9
"WV",2012,31.9
"NC",2011,31.9
"OH",2013,31.9
"ID",2011,31.9
"WV",2013,31.9
"TX",2011,31.9
"UT",2014,31.9
"TN",2013,31.9
"OR",2013,31.9
"WY",2011,31.9
"NC",2016,31.9
"WV",2016,31.9
"OR",2016,31.9
"MD",2016,31.9
"MS",2016,31.9
"NM",2016,31.9
"AZ",2016,31.9
"AL",2021,31.9
"MN",2021,31.9
"AR",2021,31.9
"MA",2021,31.9
"KY",2021,31.9
"OR",2021,31.9
"LA",2021,31.9
"NH",2021,31.9
"AK",2021,31.9
"PA",2021,31.9
"UT",2021,31.9
"AR",2022,31.9
"CO",2022,31.9
"GA",2022,31.9
"HI",2022,31.9
"KS",2022,31.9
"MD",2022,31.9
"ND",2022,31.9
"NH",2022,31.9
"OK",2022,31.9
"WI",2022,31.9
"TN",2016,32
"PA",2018,32
"CA",2018,32
"KY",2018,32
"ID",2018,32
"WV",2020,32
"VT",2020,32
"OR",2020,32
"WV",2020,32
"IL",2020,32
"NH",2020,32
"KY",2020,32
"WY",2020,32
"SC",2012,32
"IN",2013,32
"KY",2015,32
"SC",2012,32
"HI",2012,32
"CO",2017,32
"LA",2017,32
"LA",2017,32
"MS",2017,32
"WV",2017,32
"SD",2019,32
"AR",2019,32
"KS",2019,32
"OH",2013,32
"AR",2019,32
"ID",2011,32
"MD",2019,32
"AK",2011,32
"RI",2019,32
"AZ",2019,32
"ID",2019,32
"MS",2019,32
"FL",2019,32
"HI",2011,32
"IA",2014,32
"NY",2015,32
"NH",2019,32
"NY",2014,32
"CA",2012,32
"KS",2015,32
"SC",2015,32
"AR",2015,32
"NJ",2012,32
"HI",2012,32
"FL",2015,32
"WA",2011,32
"MA",2015,32
"AZ",2015,32
"NJ",2015,32
"KY",2014,32
"MA",2014,32
"CO",2016,32
"WV",2016,32
"WA",2016,32
"KS",2016,32
"MO",2016,32
"WV",2021,32
"CT",2021,32
"TX",2021,32
"MO",2021,32
"WA",2021,32
"NH",2021,32
"HI",2021,32
"UT",2021,32
"HI",2022,32
"KS",2022,32
"KY",2022,32
"MI",2022,32
"MT",2022,32
"TN",2022,32
"TX",2022,32
"VA",2022,32
"WA",2022,32
"WI",2022,32
"ME",2018,32.1
"MN",2018,32.1
"GA",2018,32.1
"AZ",2018,32.1
"OK",2018,32.1
"GA",2015,32.1
"AR",2018,32.1
"GA",2018,32.1
"AR",2018,32.1
"NE",2018,32.1
"AL",2018,32.1
"CO",2020,32.1
"HI",2020,32.1
"AK",2020,32.1
"OR",2020,32.1
"KS",2020,32.1
"IN",2020,32.1
"KY",2020,32.1
"DE",2020,32.1
"IN",2020,32.1
"ME",2020,32.1
"TN",2017,32.1
"LA",2017,32.1
"WY",2017,32.1
"WV",2017,32.1
"SD",2017,32.1
"AR",2017,32.1
"FL",2017,32.1
"MS",2013,32.1
"NV",2014,32.1
"ME",2013,32.1
"LA",2011,32.1
"MI",2013,32.1
"LA",2015,32.1
"KS",2013,32.1
"UT",2012,32.1
"WA",2012,32.1
"NY",2012,32.1
"MO",2017,32.1
"NY",2019,32.1
"IL",2019,32.1
"IL",2019,32.1
"LA",2015,32.1
"NC",2014,32.1
"RI",2013,32.1
"MD",2019,32.1
"SC",2014,32.1
"MD",2019,32.1
"LA",2019,32.1
"MS",2019,32.1
"MA",2019,32.1
"WV",2015,32.1
"GA",2019,32.1
"SC",2014,32.1
"NV",2011,32.1
"RI",2011,32.1
"TN",2014,32.1
"UT",2013,32.1
"HI",2013,32.1
"CT",2011,32.1
"KY",2015,32.1
"NY",2013,32.1
"LA",2011,32.1
"RI",2014,32.1
"AZ",2014,32.1
"ID",2012,32.1
"OK",2014,32.1
"NJ",2016,32.1
"GA",2016,32.1
"MO",2016,32.1
"TN",2016,32.1
"WI",2016,32.1
"ID",2016,32.1
"SD",2016,32.1
"KY",2016,32.1
"AR",2016,32.1
"KY",2016,32.1
"VT",2021,32.1
"ND",2021,32.1
"MA",2021,32.1
"AR",2021,32.1
"KS",2021,32.1
"TN",2021,32.1
"PA",2021,32.1
"MN",2021,32.1
"ME",2021,32.1
"MO",2021,32.1
"AK",2022,32.1
"AK",2022,32.1
"CO",2022,32.1
"CT",2022,32.1
"FL",2022,32.1
"ME",2022,32.1
"MO",2022,32.1
"MS",2022,32.1
"OR",2022,32.1
"UT",2022,32.1
"VA",2022,32.1
"WI",2022,32.1
"SC",2016,32.2
"WV",2018,32.2
"NC",2018,32.2
"WV",2018,32.2
"MS",2018,32.2
"AK",2018,32.2
"KS",2018,32.2
"CO",2018,32.2
"IN",2018,32.2
"CA",2018,32.2
"IN",2020,32.2
"DE",2016,32.2
"PA",2020,32.2
"MS",2020,32.2
"DE",2020,32.2
"WV",2020,32.2
"IN",2020,32.2
"NH",2017,32.2
"MN",2017,32.2
"ME",2017,32.2
"MD",2017,32.2
"NE",2017,32.2
"CT",2014,32.2
"DE",2011,32.2
"SD",2015,32.2
"MO",2012,32.2
"VA",2013,32.2
"NM",2012,32.2
"AL",2014,32.2
"GA",2017,32.2
"KS",2017,32.2
"MN",2015,32.2
"MD",2014,32.2
"TN",2011,32.2
"AR",2012,32.2
"NC",2011,32.2
"HI",2019,32.2
"LA",2019,32.2
"NM",2019,32.2
"MO",2014,32.2
"OH",2019,32.2
"LA",2019,32.2
"LA",2014,32.2
"MN",2013,32.2
"AL",2019,32.2
"MT",2012,32.2
"WY",2015,32.2
"OR",2012,32.2
"AL",2013,32.2
"MS",2014,32.2
"FL",2013,32.2
"AR",2012,32.2
"AR",2015,32.2
"VA",2013,32.2
"VA",2012,32.2
"IL",2013,32.2
"CT",2011,32.2
"KY",2014,32.2
"MO",2012,32.2
"AZ",2013,32.2
"CT",2011,32.2
"TX",2015,32.2
"IA",2011,32.2
"AR",2013,32.2
"KY",2016,32.2
"SC",2016,32.2
"CO",2016,32.2
"TX",2016,32.2
"AL",2016,32.2
"TN",2016,32.2
"HI",2016,32.2
"GA",2016,32.2
"OR",2021,32.2
"MD",2021,32.2
"MA",2021,32.2
"NJ",2021,32.2
"NM",2021,32.2
"OR",2021,32.2
"TX",2021,32.2
"AR",2021,32.2
"MT",2021,32.2
"CA",2022,32.2
"DE",2022,32.2
"IL",2022,32.2
"KS",2022,32.2
"ME",2022,32.2
"MN",2022,32.2
"WV",2022,32.2
"IN",2018,32.3
"AL",2018,32.3
"MI",2018,32.3
"IN",2018,32.3
"FL",2016,32.3
"AK",2018,32.3
"AZ",2018,32.3
"NV",2018,32.3
"UT",2018,32.3
"NY",2018,32.3
"AL",2018,32.3
"AL",2020,32.3
"AK",2020,32.3
"SD",2020,32.3
"CT",2020,32.3
"UT",2020,32.3
"TX",2020,32.3
"NH",2020,32.3
"NY",2020,32.3
"OH",2017,32.3
"MS",2017,32.3
"IA",2017,32.3
"SC",2017,32.3
"VT",2017,32.3
"NJ",2017,32.3
"FL",2017,32.3
"NE",2017,32.3
"FL",2012,32.3
"ID",2013,32.3
"CO",2014,32.3
"KY",2011,32.3
"NV",2015,32.3
"ME",2013,32.3
"WI",2012,32.3
"NM",2012,32.3
"IA",2017,32.3
"WV",2017,32.3
"CA",2014,32.3
"MO",2014,32.3
"MA",2015,32.3
"MD",2011,32.3
"VT",2017,32.3
"VA",2015,32.3
"NY",2015,32.3
"RI",2014,32.3
"AR",2019,32.3
"NE",2019,32.3
"WV",2019,32.3
"KS",2019,32.3
"CO",2019,32.3
"NJ",2012,32.3
"ND",2014,32.3
"WI",2019,32.3
"CA",2012,32.3
"KS",2013,32.3
"SD",2011,32.3
"MN",2012,32.3
"IN",2012,32.3
"SC",2011,32.3
"TX",2013,32.3
"NC",2014,32.3
"VA",2013,32.3
"OR",2013,32.3
"WA",2014,32.3
"DE",2014,32.3
"AL",2014,32.3
"VA",2015,32.3
"ME",2015,32.3
"GA",2015,32.3
"VA",2016,32.3
"CT",2016,32.3
"AL",2016,32.3
"DE",2016,32.3
"NY",2016,32.3
"NC",2021,32.3
"CT",2021,32.3
"CO",2021,32.3
"MO",2021,32.3
"WY",2021,32.3
"MI",2021,32.3
"TX",2021,32.3
"AL",2022,32.3
"AL",2022,32.3
"MD",2022,32.3
"MI",2022,32.3
"NC",2022,32.3
"NC",2022,32.3
"NJ",2022,32.3
"OK",2022,32.3
"SC",2022,32.3
"WY",2022,32.3
"WA",2018,32.4
"LA",2018,32.4
"WI",2018,32.4
"MI",2018,32.4
"NV",2018,32.4
"ME",2018,32.4
"SD",2018,32.4
"PA",2018,32.4
"IN",2020,32.4
"MD",2020,32.4
"MA",2020,32.4
"NE",2020,32.4
"VA",2020,32.4
"LA",2020,32.4
"IN",2020,32.4
"MI",2017,32.4
"KY",2017,32.4
"LA",2017,32.4
"MD",2013,32.4
"SC",2015,32.4
"TN",2015,32.4
"PA",2013,32.4
"MD",2012,32.4
"WI",2017,32.4
"VA",2012,32.4
"WA",2011,32.4
"FL",2011,32.4
"MO",2019,32.4
"RI",2014,32.4
"MI",2013,32.4
"OH",2019,32.4
"OK",2019,32.4
"LA",2019,32.4
"UT",2014,32.4
"WV",2019,32.4
"MA",2011,32.4
"KS",2014,32.4
"SC",2013,32.4
"OH",2013,32.4
"DE",2013,32.4
"MN",2014,32.4
"WA",2012,32.4
"RI",2014,32.4
"NE",2015,32.4
"PA",2015,32.4
"PA",2013,32.4
"NM",2015,32.4
"OK",2011,32.4
"NE",2011,32.4
"IL",2015,32.4
"OK",2015,32.4
"VT",2015,32.4
"MN",2016,32.4
"HI",2016,32.4
"CA",2016,32.4
"VT",2016,32.4
"OH",2016,32.4
"VT",2016,32.4
"OK",2016,32.4
"FL",2016,32.4
"MT",2016,32.4
"VT",2021,32.4
"NV",2021,32.4
"OH",2021,32.4
"MD",2021,32.4
"KY",2021,32.4
"NC",2021,32.4
"UT",2021,32.4
"KY",2021,32.4
"MO",2021,32.4
"OH",2021,32.4
"TX",2021,32.4
"AR",2021,32.4
"LA",2021,32.4
"VT",2021,32.4
"CA",2022,32.4
"IN",2022,32.4
"KS",2022,32.4
"MD",2022,32.4
"NE",2022,32.4
"SC",2022,32.4
"TN",2022,32.4
"VA",2022,32.4
"WV",2022,32.4
"IL",2016,32.5
"LA",2020,32.5
"OR",2018,32.5
"AL",2018,32.5
"KY",2018,32.5
"WV",2018,32.5
"MO",2018,32.5
"NY",2018,32.5
"IN",2018,32.5
"OH",2018,32.5
"IA",2018,32.5
"WY",2018,32.5
"TN",2018,32.5
"TN",2020,32.5
"UT",2020,32.5
"DE",2020,32.5
"TX",2020,32.5
"IN",2020,32.5
"AR",2020,32.5
"OH",2020,32.5
"OK",2020,32.5
"ME",2020,32.5
"OK",2020,32.5
"OH",2017,32.5
"RI",2017,32.5
"ME",2017,32.5
"MI",2012,32.5
"AK",2012,32.5
"NV",2012,32.5
"VT",2013,32.5
"HI",2012,32.5
"VT",2015,32.5
"GA",2012,32.5
"WA",2017,32.5
"DE",2017,32.5
"KS",2012,32.5
"OH",2017,32.5
"SD",2011,32.5
"AR",2013,32.5
"MD",2019,32.5
"SC",2012,32.5
"MN",2019,32.5
"DE",2012,32.5
"FL",2019,32.5
"IL",2019,32.5
"VA",2019,32.5
"MI",2019,32.5
"AR",2019,32.5
"NM",2013,32.5
"KS",2013,32.5
"MS",2019,32.5
"OK",2019,32.5
"NM",2019,32.5
"MD",2014,32.5
"WY",2015,32.5
"LA",2019,32.5
"AR",2019,32.5
"FL",2019,32.5
"NE",2015,32.5
"CO",2012,32.5
"MI",2011,32.5
"AZ",2013,32.5
"PA",2012,32.5
"AK",2013,32.5
"SD",2015,32.5
"WA",2012,32.5
"FL",2011,32.5
"UT",2011,32.5
"OK",2013,32.5
"ME",2012,32.5
"VT",2014,32.5
"HI",2012,32.5
"NH",2012,32.5
"DE",2011,32.5
"MS",2014,32.5
"CO",2014,32.5
"KY",2016,32.5
"UT",2016,32.5
"AR",2016,32.5
"MS",2016,32.5
"NE",2021,32.5
"OK",2021,32.5
"WY",2021,32.5
"IN",2021,32.5
"MN",2021,32.5
"AK",2021,32.5
"OH",2021,32.5
"NE",2021,32.5
"MA",2021,32.5
"VA",2021,32.5
"TN",2021,32.5
"AR",2022,32.5
"CA",2022,32.5
"IA",2022,32.5
"NC",2022,32.5
"WA",2022,32.5
"KY",2018,32.6
"DE",2018,32.6
"PA",2018,32.6
"ND",2018,32.6
"UT",2018,32.6
"CO",2020,32.6
"SC",2020,32.6
"KS",2020,32.6
"WV",2020,32.6
"NY",2020,32.6
"FL",2020,32.6
"IN",2020,32.6
"AZ",2020,32.6
"TX",2020,32.6
"KY",2016,32.6
"NJ",2020,32.6
"CO",2020,32.6
"WY",2020,32.6
"UT",2020,32.6
"KY",2020,32.6
"OK",2020,32.6
"ME",2017,32.6
"SC",2017,32.6
"SC",2017,32.6
"MS",2017,32.6
"WY",2017,32.6
"TX",2014,32.6
"MO",2011,32.6
"ME",2011,32.6
"NM",2015,32.6
"NM",2012,32.6
"TX",2017,32.6
"SC",2017,32.6
"MD",2017,32.6
"IN",2017,32.6
"AK",2017,32.6
"VT",2017,32.6
"LA",2019,32.6
"RI",2019,32.6
"AR",2012,32.6
"KY",2015,32.6
"KY",2019,32.6
"MI",2019,32.6
"FL",2015,32.6
"AR",2019,32.6
"NH",2019,32.6
"ME",2011,32.6
"WI",2019,32.6
"KS",2011,32.6
"ME",2019,32.6
"KS",2019,32.6
"MD",2019,32.6
"KY",2015,32.6
"NY",2015,32.6
"AL",2015,32.6
"WV",2014,32.6
"GA",2011,32.6
"PA",2014,32.6
"IL",2013,32.6
"UT",2014,32.6
"GA",2013,32.6
"PA",2011,32.6
"FL",2012,32.6
"WV",2015,32.6
"IA",2015,32.6
"ID",2015,32.6
"CT",2011,32.6
"SC",2015,32.6
"SD",2015,32.6
"TN",2016,32.6
"MA",2016,32.6
"CT",2016,32.6
"ME",2016,32.6
"WV",2016,32.6
"ID",2021,32.6
"HI",2021,32.6
"PA",2021,32.6
"IA",2021,32.6
"GA",2021,32.6
"NC",2021,32.6
"NM",2021,32.6
"IN",2021,32.6
"TX",2021,32.6
"VT",2021,32.6
"DE",2022,32.6
"HI",2022,32.6
"ME",2022,32.6
"MI",2022,32.6
"MO",2022,32.6
"ND",2022,32.6
"NY",2022,32.6
"OH",2022,32.6
"SC",2022,32.6
"TN",2022,32.6
"CT",2018,32.7
"LA",2018,32.7
"HI",2018,32.7
"OR",2018,32.7
"MN",2018,32.7
"ND",2018,32.7
"KS",2018,32.7
"MI",2018,32.7
"DE",2018,32.7
"OK",2018,32.7
"WA",2018,32.7
"LA",2018,32.7
"IA",2018,32.7
"GA",2018,32.7
"TN",2018,32.7
"MD",2020,32.7
"HI",2020,32.7
"WV",2020,32.7
"OR",2020,32.7
"NC",2020,32.7
"RI",2020,32.7
"AL",2017,32.7
"KY",2017,32.7
"IL",2017,32.7
"MD",2017,32.7
"AR",2017,32.7
"CT",2017,32.7
"AK",2017,32.7
"UT",2017,32.7
"NM",2017,32.7
"KS",2017,32.7
"PA",2012,32.7
"KS",2014,32.7
"CO",2015,32.7
"NH",2012,32.7
"ME",2011,32.7
"NC",2012,32.7
"MI",2015,32.7
"NE",2013,32.7
"LA",2013,32.7
"DE",2014,32.7
"KS",2017,32.7
"WA",2017,32.7
"IA",2017,32.7
"AK",2013,32.7
"TX",2017,32.7
"ID",2015,32.7
"OR",2015,32.7
"IN",2019,32.7
"NY",2011,32.7
"GA",2013,32.7
"NJ",2013,32.7
"ME",2019,32.7
"KS",2015,32.7
"MO",2013,32.7
"IA",2019,32.7
"CT",2019,32.7
"AR",2014,32.7
"LA",2019,32.7
"AL",2014,32.7
"NE",2019,32.7
"CO",2019,32.7
"UT",2011,32.7
"AL",2014,32.7
"UT",2012,32.7
"MN",2011,32.7
"NC",2015,32.7
"MI",2011,32.7
"NC",2011,32.7
"NH",2014,32.7
"MS",2014,32.7
"HI",2011,32.7
"IN",2015,32.7
"NY",2011,32.7
"NM",2012,32.7
"MT",2013,32.7
"OK",2013,32.7
"MA",2013,32.7
"IN",2013,32.7
"CA",2015,32.7
"CO",2015,32.7
"WY",2015,32.7
"CA",2013,32.7
"MT",2014,32.7
"AZ",2015,32.7
"CT",2012,32.7
"NC",2014,32.7
"AR",2011,32.7
"SD",2014,32.7
"MI",2015,32.7
"IA",2013,32.7
"NM",2016,32.7
"NV",2016,32.7
"CO",2016,32.7
"FL",2016,32.7
"PA",2016,32.7
"AL",2021,32.7
"SC",2021,32.7
"SC",2021,32.7
"KS",2021,32.7
"WV",2021,32.7
"TX",2021,32.7
"IN",2021,32.7
"AK",2022,32.7
"DE",2022,32.7
"KY",2022,32.7
"MA",2022,32.7
"MI",2022,32.7
"MN",2022,32.7
